_id,name,category,price,stock
1,Become,Accessories,466.83,653
2,Since,Clothing,235.46,573
3,But,Electronics,428.28,78
4,Force,Accessories,241.68,491
5,Reach,Accessories,67.03,141
6,Most,Misc,470.64,973
7,Treatment,Clothing,385.1,871
8,Future,Beauty,449.27,176
9,Set,Accessories,12,389
10,All,Accessories,90.82,911
11,It,Home,375.07,768
12,Behavior,Clothing,145.7,400
13,Crime,Accessories,251.84,770
14,Exactly,Clothing,86.59,249
15,Personal,Beauty,226.22,361
16,Scene,Accessories,394.75,596
17,Development,Home,365.62,371
18,Type,Home,455.61,959
19,Trade,Clothing,452.36,898
20,Agreement,Accessories,225.15,781
21,Red,Clothing,480.71,149
22,Picture,Beauty,133.41,434
23,Summer,Beauty,87.02,308
24,Situation,Beauty,162.51,843
25,Some,Home,372.5,413
26,Positive,Accessories,60.12,62
27,Report,Beauty,475.75,476
28,Open,Home,83.15,709
29,Serve,Beauty,425.45,275
30,Serve,Beauty,216.92,860
31,Town,Beauty,369.21,353
32,Try,Accessories,14.32,240
33,Movie,Electronics,293.13,338
34,Indicate,Electronics,222.24,374
35,Customer,Accessories,179.05,163
36,Remember,Clothing,9.04,112
37,Economic,Clothing,376.07,547
38,Activity,Home,395.11,691
39,Wish,Home,441.91,184
40,Move,Accessories,432.54,631
41,Environment,Electronics,207.52,852
42,Feeling,Home,296.55,555
43,Together,Beauty,466.46,645
44,Worker,Beauty,339.16,210
45,Age,Beauty,418.55,772
46,Position,Clothing,180.74,439
47,Drive,Electronics,340.22,19
48,Sure,Beauty,291.22,701
49,Clear,Clothing,410.27,458
50,Control,Accessories,237.5,43
51,Car,Home,226.49,918
52,Camera,Home,171.14,778
53,Natural,Accessories,32.08,965
54,Seven,Clothing,278.25,898
55,Evening,Electronics,98.37,861
56,Discuss,Accessories,323.63,245
57,Spring,Accessories,155.68,463
58,Series,Beauty,322.92,618
59,Performance,Home,93.27,908
60,Show,Clothing,435.12,168
61,Either,Home,67.2,91
62,Usually,Beauty,57.63,134
63,Yard,Home,492.17,422
64,Security,Beauty,34.48,230
65,Member,Home,478.93,885
66,Federal,Electronics,383.32,403
67,Power,Beauty,334.69,639
68,Plan,Beauty,272.17,387
69,Buy,Electronics,121.29,632
70,Fact,Home,125.04,300
71,Candidate,Clothing,340.06,336
72,Amount,Clothing,418.23,527
73,Individual,Beauty,399.94,754
74,Career,Home,474.46,161
75,Almost,Home,34.66,855
76,From,Home,245.64,661
77,Word,Clothing,324.82,445
78,Cut,Beauty,335.88,722
79,Defense,Electronics,264.58,237
80,President,Home,379.45,276
81,Recent,Accessories,19.24,561
82,Nice,Beauty,166.96,729
83,Threat,Accessories,221.02,777
84,Show,Beauty,38.41,144
85,Continue,Electronics,412.75,373
86,Long,Accessories,318.81,754
87,Student,Home,445,139
88,Interesting,Accessories,222.18,704
89,Town,Accessories,282.18,759
90,Participant,Beauty,358.99,668
91,Bag,Accessories,31.72,595
92,Life,Clothing,175.66,443
93,Performance,Home,106.27,384
